product_id,product_name,category,price,cost,stock_quantity,supplier_id,is_active,rating,review_count,weight_kg,country_of_origin,last_restocked
P001,Wireless Bluetooth Headphones,Electronics,149.99,62.00,234,SUP-01,true,4.5,1823,0.35,China,2024-01-10
P002,USB-C Fast Charger 65W,Electronics,34.99,12.50,891,SUP-01,true,4.3,4201,0.15,China,2024-01-12
P003,Running Shoes - Men Size 10,Footwear,89.99,38.00,156,SUP-02,true,4.1,743,0.82,Vietnam,2024-01-08
P004,Stainless Steel Water Bottle 1L,Kitchen,24.99,8.00,1205,SUP-03,true,4.7,6321,0.48,Germany,2024-01-15
P005,4K HDMI Cable 2m,Electronics,12.99,3.50,2341,SUP-01,true,4.2,9823,0.18,China,2024-01-11
P006,Yoga Mat Premium Non-Slip,Sports,45.99,18.00,423,SUP-04,true,4.6,2145,1.20,India,2024-01-09
P007,Mechanical Keyboard RGB,Electronics,129.99,54.00,178,SUP-01,true,4.4,3421,0.95,China,2024-01-13
P008,Ceramic Coffee Mug Set 4pc,Kitchen,39.99,14.00,567,SUP-05,true,4.3,1876,1.45,Portugal,2024-01-14
P009,Leather Laptop Bag 15in,Accessories,79.99,32.00,89,SUP-06,true,4.0,654,0.92,Italy,2024-01-07
P010,Portable Power Bank 20000mAh,Electronics,49.99,20.00,1023,SUP-01,true,4.5,7231,0.45,China,2024-01-12
P011,Cotton T-Shirt Unisex M,Clothing,19.99,6.50,2567,SUP-07,true,4.1,3201,0.22,Bangladesh,2024-01-10
P012,Wireless Mouse Ergonomic,Electronics,39.99,15.50,456,SUP-01,true,4.3,2891,0.12,China,2024-01-11
P013,Plant-Based Protein Powder 1kg,Nutrition,54.99,22.00,312,SUP-08,true,4.2,1432,1.00,USA,2024-01-09
P014,Smart LED Bulb E27 WiFi,Electronics,18.99,7.00,1789,SUP-01,true,4.0,4523,0.08,China,2024-01-13
P015,Bamboo Cutting Board Large,Kitchen,34.99,12.00,678,SUP-09,true,4.6,2341,0.85,China,2024-01-08
P016,Noise Cancelling Earbuds,Electronics,199.99,85.00,267,SUP-01,true,4.6,5123,0.06,China,2024-01-14
P017,Hiking Backpack 40L,Outdoors,119.99,48.00,134,SUP-10,true,4.4,1021,1.35,China,2024-01-07
P018,Resistance Bands Set 5pc,Sports,22.99,8.00,2134,SUP-04,true,4.5,4521,0.45,China,2024-01-12
P019,Stainless Steel Pan 28cm,Kitchen,64.99,26.00,345,SUP-05,true,4.3,1987,1.12,France,2024-01-11
P020,Wireless Keyboard Slim,Electronics,59.99,24.00,523,SUP-01,true,4.1,2134,0.55,China,2024-01-10
P021,Denim Jeans Slim Fit W32,Clothing,69.99,28.00,456,SUP-07,true,4.0,1203,0.72,Bangladesh,2024-01-09
P022,Foam Roller Deep Tissue,Sports,29.99,10.00,892,SUP-04,true,4.4,3421,0.58,China,2024-01-13
P023,4-Port USB Hub 3.0,Electronics,24.99,9.00,1678,SUP-01,true,4.2,6789,0.12,China,2024-01-12
P024,Glass Meal Prep Containers 10pc,Kitchen,44.99,16.00,789,SUP-09,true,4.5,2891,2.10,China,2024-01-08
P025,Running Leggings Women M,Clothing,49.99,20.00,678,SUP-07,true,4.3,2341,0.35,Vietnam,2024-01-11
P026,Mechanical Gaming Mouse,Electronics,79.99,32.00,312,SUP-01,true,4.5,3421,0.18,China,2024-01-14
P027,Whey Protein Chocolate 2kg,Nutrition,74.99,30.00,234,SUP-08,true,4.4,4521,2.00,Ireland,2024-01-09
P028,Electric Toothbrush Sonic,Health,89.99,36.00,456,SUP-11,true,4.6,2134,0.22,Germany,2024-01-10
P029,Canvas Sneakers Unisex,Footwear,54.99,22.00,567,SUP-02,true,4.1,1234,0.68,China,2024-01-07
P030,Laptop Stand Adjustable,Electronics,49.99,18.00,1023,SUP-01,true,4.4,3891,0.55,China,2024-01-12
P031,Essential Oil Diffuser,Home,35.99,13.00,678,SUP-12,true,4.3,2145,0.62,China,2024-01-11
P032,Cold Brew Coffee Maker,Kitchen,59.99,24.00,234,SUP-05,true,4.5,1678,0.88,Japan,2024-01-13
P033,Compression Running Socks 3pk,Clothing,24.99,8.50,1567,SUP-07,true,4.2,2891,0.15,South Korea,2024-01-08
P034,27-inch Monitor IPS 4K,Electronics,549.99,230.00,78,SUP-01,true,4.6,891,3.80,South Korea,2024-01-05
P035,Yoga Block Set 2pc,Sports,19.99,7.00,1234,SUP-04,true,4.5,3421,0.68,China,2024-01-14
P036,Silicon Baking Mat Set 3pc,Kitchen,22.99,8.00,2341,SUP-09,true,4.4,4521,0.35,China,2024-01-09
P037,Portable Bluetooth Speaker,Electronics,79.99,32.00,456,SUP-01,true,4.3,5678,0.62,China,2024-01-12
P038,Multi-Vitamin Daily 365ct,Nutrition,29.99,11.00,891,SUP-08,true,4.1,7234,0.45,USA,2024-01-10
P039,Hiking Boots Waterproof M10,Footwear,149.99,62.00,123,SUP-02,true,4.5,1023,1.45,Italy,2024-01-07
P040,Air Purifier HEPA H13,Home,149.99,62.00,234,SUP-12,true,4.4,2341,3.20,South Korea,2024-01-11
P041,Reusable Grocery Bags 5pk,Home,14.99,4.50,3456,SUP-13,true,4.3,6789,0.35,China,2024-01-13
P042,Jump Rope Speed Cable,Sports,19.99,7.00,1678,SUP-04,true,4.2,4521,0.22,China,2024-01-09
P043,Dress Shirt Formal White L,Clothing,59.99,24.00,345,SUP-07,true,4.0,891,0.38,India,2024-01-08
P044,Cast Iron Skillet 12in,Kitchen,49.99,20.00,567,SUP-05,true,4.7,3421,2.95,USA,2024-01-14
P045,Drawing Tablet Digital,Electronics,199.99,85.00,156,SUP-01,true,4.5,2134,0.72,China,2024-01-10
P046,Vitamin C Serum 30ml,Health,34.99,12.00,1234,SUP-11,true,4.4,5678,0.08,South Korea,2024-01-12
P047,Trekking Poles Collapsible,Outdoors,64.99,26.00,234,SUP-10,true,4.3,1345,0.55,China,2024-01-07
P048,French Press Coffee 1L,Kitchen,39.99,14.00,678,SUP-05,true,4.5,2891,0.75,Germany,2024-01-11
